kb_item_id,资料名称,资料类型,学科,年级,册次,单元,课题,来源,版本,权限级别,是否可用于AI生成,是否可公开展示,文件路径或URL,内容库对象ID,设计版本ID,parse_status,source_status,服务阶段,适用场景,引用关系,入库阶段,备注,updated_at
kb_art_g5_voyage_lesson_case_001,梦中的远航完整教案,教案,美术,五年级,,梦中的远航,梦中的远航,校内,2026-v1,教师可见,是,否,tmp_meng_zhong_de_yuan_hang.docx,unit_content_g5_voyage_001,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,已验证 docx 可解析；入库前建议移入正式 lesson-cases 目录,2026-04-27T21:48:12
kb_art_g3_qinglv_content_export_001,青绿中国色内容库导出,教学内容库导出,美术,三年级,,第三单元 青绿中国色,,内容库导出,2026-v1,教师可见,是,否,prototype-clean-v1/frontend/content-library-real-data-v1.json,unit_content_g3_qinglv_001,,parsed,verified,"picker,brief,draft,refine","单元理解,课时衔接,内容校验",待关联当前课,第一阶段,可作为 kb_content_library 首批样例,2026-04-27T21:48:12
kb_art_curriculum_standard_001,义务教育美术课程标准相关章节,课标,美术,,,,,课程标准,2026-v1,教师可见,是,否,,,,missing,missing,"picker,brief,draft,refine","目标制定,评价设计,课标映射",待关联当前课,第一阶段,待补原文文件、章节、页码和引用锚点,2026-04-27T21:48:12
kb_art_teacher_profile_xutao_001,徐涛老师偏好,教师偏好,美术,,,,,教师上传,2026-v1,教师可见,是,否,knowledge-base\teacher-profile\kb_art_teacher_profile_xutao_001_xutao_teacher_profile.md,,,parsed,verified,"brief,draft,refine,review","教师偏好,表达风格,课堂口吻",待关联当前课,第一阶段,已读取 xutao_teacher_profile.md，共提取约 1 行正文。当前摘要：徐涛老师偏好：语言简洁，少套话，保留课堂真实口吻。,2026-04-27T21:48:12
kb_art_g3_textbook_images_20260427,三年级美术教材图片包,教材,美术,三年级,,,,教师本地教材图片资料,2026-v1,教师可见,是,否,E:\学校工作\教学\教学资料\教材图片资料\三年级教材内容 - 图片,,,indexed,partial,"picker,brief,draft,refine","教材理解,导入,示范,支架",待关联当前课,第一阶段,本地图片索引入库，26 张，47.14 MB；未做 OCR，检索基于元数据和文件名。,2026-04-27T21:48:12
kb_art_g4_textbook_old_images_20260427,四年级美术老教材图片包,教材,美术,四年级,下册,,,教师本地教材图片资料,老教材-2026-v1,教师可见,是,否,E:\学校工作\教学\教学资料\教材图片资料\四年级老教材内容 - 图片,,,indexed,partial,"picker,brief,draft,refine","教材理解,导入,示范,支架",待关联当前课,第一阶段,本地图片索引入库，49 张，59.98 MB；未做 OCR，检索基于元数据和文件名。,2026-04-27T21:48:12
kb_art_g5_textbook_sushao_2_images_20260427,五年级下册美术苏少版电子课本图片包,教材,美术,五年级,下册,,,教师本地教材图片资料,苏少版-2026-v1,教师可见,是,否,E:\学校工作\教学\教学资料\教材图片资料\五年级下册美术苏少版电子课本,,,indexed,partial,"picker,brief,draft,refine","教材理解,导入,示范,支架",待关联当前课,第一阶段,本地图片索引入库，49 张，243.55 MB；未做 OCR，检索基于元数据和文件名。,2026-04-27T21:48:12
kb_art_g6_textbook_sushao_2_images_20260427,六年级下册美术苏少版电子课本图片包,教材,美术,六年级,下册,,,教师本地教材图片资料,苏少版-2026-v1,教师可见,是,否,E:\学校工作\教学\教学资料\教材图片资料\【苏少版】六年级下册美术电子课本,,,indexed,partial,"picker,brief,draft,refine","教材理解,导入,示范,支架",待关联当前课,第一阶段,本地图片索引入库，52 张，972.58 MB；未做 OCR，检索基于元数据和文件名。,2026-04-27T21:48:12
kb_art_g4_lesson_case_lesson_0fdd9a08e4,开学第一课 美术世界我来了 教案,教案,美术,四年级,下册,开学第一课,开学第一课 美术世界我来了,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_lesson_0fdd9a08e4_开学第一课_美术世界我来了_教案.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；已读取 开学第一课 美术世界我来了 教案.docx，共提取约 68 行正文。当前摘要：开学第一课 美术世界，我来了！,2026-04-27T21:48:12
kb_art_g4_lesson_case_lesson_05a7f3da9e,第三单元 自然·生命 备课文档,教案,美术,四年级,下册,第三单元 自然·生命,第三单元 自然·生命,教师本地教案资料,2025第二学期-v1,教师可见,是,否,knowledge-base\lesson-cases\kb_art_g4_lesson_case_lesson_05a7f3da9e_第三单元_自然·生命_备课文档.docx,,,parsed,verified,"brief,draft,refine","教学设计,活动组织,评价设计",待关联当前课,第一阶段,原始文件已复制入库；同名文本 第三单元_自然·生命_备课文档.md 用于检索解析；已读取 第三单元_自然·生命_备课文档.md，共提取约 258 行正文。,2026-04-27T21:48:12
